Metric,Value
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,287.31
design__instance__count__class:fill_cell,433
design__instance__area__class:fill_cell,1564.01
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,21
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,21
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,21
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,21
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19786
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19979
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00213794
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0045888
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000207777
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0045888
design_powergrid__voltage__worst,0.0045888
design_powergrid__voltage__worst__net:VPWR,1.19786
design_powergrid__drop__worst,0.0045888
design_powergrid__drop__worst__net:VPWR,0.00213794
design_powergrid__voltage__worst__net:VGND,0.0045888
design_powergrid__drop__worst__net:VGND,0.0045888
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0002069999999999999899975844375177302936208434402942657470703125
ir__drop__worst,0.0021399999999999999751587598240121224080212414264678955078125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
