Metric,Value
route__wirelength__max,242.555
design__instance__count__class:fill_cell,470
design__instance__area__class:fill_cell,1763.6
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,21
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,21
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,21
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,21
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19661
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19984
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00338761
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000893921
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.00010992
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000893921
design_powergrid__voltage__worst,0.000893921
design_powergrid__voltage__worst__net:VPWR,1.19661
design_powergrid__drop__worst,0.00338761
design_powergrid__drop__worst__net:VPWR,0.00338761
design_powergrid__voltage__worst__net:VGND,0.000893921
design_powergrid__drop__worst__net:VGND,0.000893921
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00016200000000000000749227069274382984076510183513164520263671875
ir__drop__worst,0.003389999999999999784339177466563342022709548473358154296875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
