Metric,Value
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,360.155
design__instance__count__class:fill_cell,437
design__instance__area__class:fill_cell,1576.71
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,19
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,19
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,19
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,19
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19691
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19975
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00309265
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00277443
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000201657
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00277443
design_powergrid__voltage__worst,0.00277443
design_powergrid__voltage__worst__net:VPWR,1.19691
design_powergrid__drop__worst,0.00309265
design_powergrid__drop__worst__net:VPWR,0.00309265
design_powergrid__voltage__worst__net:VGND,0.00277443
design_powergrid__drop__worst__net:VGND,0.00277443
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000248999999999999980897225082543400276335887610912322998046875
ir__drop__worst,0.003089999999999999864830346751887191203422844409942626953125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
