Metric,Value
route__vias__singlecut,12164
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,249.265
design__instance__count__class:fill_cell,388
design__instance__area__class:fill_cell,1192.06
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,20
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,20
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,20
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,20
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.18684
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19979
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0131622
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00608505
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000162353
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00608505
design_powergrid__voltage__worst,0.00608505
design_powergrid__voltage__worst__net:VPWR,1.18684
design_powergrid__drop__worst,0.0131622
design_powergrid__drop__worst__net:VPWR,0.0131622
design_powergrid__voltage__worst__net:VGND,0.00608505
design_powergrid__drop__worst__net:VGND,0.00608505
ir__voltage__worst,1.189999999999999946709294817992486059665679931640625
ir__drop__avg,0.00020799999999999998719947547076714045033440925180912017822265625
ir__drop__worst,0.0131999999999999999278355033993648248724639415740966796875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
